id,name,thumbnail,menu,ctg1,ctg2,diet,cheap,latitude,longitude,kakao_link
65,서호돈가스,./pictures/p65.jpg,"[{""name"": ""히레가스"", ""price"": ""12000""}, {""name"": ""코돈부르"", ""price"": ""12000""}, {""name"": ""흑돈로스가스"", ""price"": ""15000""}, {""name"": ""김치찜돈가스"", ""price"": ""11000""}, {""name"": ""냉모밀정식"", ""price"": ""11000""}]","[""일식""]","[""샐러드"", ""소바"", ""우동""]",False,False,37.404016618492754,127.10008073598179,https://map.kakao.com/?q=%EC%84%9C%ED%98%B8%EB%8F%88%EA%B0%80%EC%8A%A4%20%ED%8C%90%EA%B5%90
66,스시코호시,./pictures/p66.jpg,"[{""name"": ""런치"", ""price"": ""60000""}, {""name"": ""디너"", ""price"": ""100000""}]","[""일식""]","[""초밥""]",False,False,37.4012862988573,127.110456388288,https://map.kakao.com/?q=%EC%8A%A4%EC%8B%9C%EC%BD%94%ED%98%B8%EC%8B%9C%20%ED%8C%90%EA%B5%90
67,이황식당,./pictures/p67.jpg,"[{""name"": ""츠케멘"", ""price"": ""10000""}, {""name"": ""신라멘"", ""price"": ""10000""}, {""name"": ""돈코츠라멘"", ""price"": ""10000""}, {""name"": ""바질라멘"", ""price"": ""11000""}, {""name"": ""차슈"", ""price"": ""3000""}]","[""일식""]","[""라멘"", ""타코야끼""]",False,False,37.40142076893176,127.11022279725627,https://map.kakao.com/?q=%EC%9D%B4%ED%99%A9%EC%8B%9D%EB%8B%B9%20%ED%8C%90%EA%B5%90
68,고다이 주방 점심저녁정식,./pictures/p68.jpg,"[{""name"": ""새우후라이+차슈라멘 정식"", ""price"": ""12900""}, {""name"": ""김치우동나베"", ""price"": ""10000""}, {""name"": ""삿포로 삼겹살 부타동"", ""price"": ""12000""}, {""name"": ""가슴속까지 시원한 급냉 냉 메밀소바"", ""price"": ""9500""}, {""name"": ""쿄토 온(溫)소바"", ""price"": ""9500""}]","[""일식""]","[""라멘"", ""소바"", ""초밥"", ""카츠"", ""텐동"", ""규동"", ""오코노미야끼"", ""타코야끼"", ""우동""]",False,False,,,https://map.kakao.com/?q=%EA%B3%A0%EB%8B%A4%EC%9D%B4%20%EC%A3%BC%EB%B0%A9%20%EC%A0%90%EC%8B%AC%EC%A0%80%EB%85%81%EC%A0%95%EC%8B%9D%20%ED%8C%90%EA%B5%90
69,코이라멘 분당판교점,./pictures/p69.jpg,"[{""name"": ""중화소바"", ""price"": ""11000""}, {""name"": ""오리지날라멘"", ""price"": ""10500""}, {""name"": ""매운라멘"", ""price"": ""10500""}, {""name"": ""차슈덮밥"", ""price"": ""10000""}, {""name"": ""마제소바"", ""price"": ""11000""}]","[""일식""]","[""라멘"", ""소바""]",False,False,37.40109688621334,127.1106684389254,https://map.kakao.com/?q=%EC%BD%94%EC%9D%B4%EB%9D%BC%EB%A9%98%20%EB%B6%84%EB%8B%B9%ED%8C%90%EA%B5%90%EC%A0%90
70,고쿠텐 판교점,./pictures/p70.jpg,"[{""name"": ""고쿠텐동"", ""price"": ""13000""}, {""name"": ""장어텐동"", ""price"": ""18000""}, {""name"": ""새우텐동"", ""price"": ""15000""}, {""name"": ""로우텐동"", ""price"": ""11000""}, {""name"": ""유자토마토"", ""price"": ""3000""}]","[""일식""]","[""라멘"", ""소바"", ""초밥"", ""카츠"", ""텐동"", ""규동"", ""오코노미야끼"", ""타코야끼"", ""우동""]",False,False,37.4012699485866,127.108653825425,https://map.kakao.com/?q=%EA%B3%A0%EC%BF%A0%ED%85%90%20%ED%8C%90%EA%B5%90%EC%A0%90
71,후쿠오카모츠나베 판교점,,[],"[""일식""]","[""라멘"", ""소바"", ""초밥"", ""카츠"", ""텐동"", ""규동"", ""오코노미야끼"", ""타코야끼"", ""우동""]",False,False,,,https://map.kakao.com/?q=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%EB%AA%A8%EC%B8%A0%EB%82%98%EB%B2%A0%20%ED%8C%90%EA%B5%90%EC%A0%90
72,르메콩,./pictures/p72.jpg,"[{""name"": ""소고기 쌀국수"", ""price"": ""10900""}, {""name"": ""분짜"", ""price"": ""13900""}, {""name"": ""나시고렝"", ""price"": ""11900""}, {""name"": ""팟타이"", ""price"": ""11900""}, {""name"": ""꿔이"", ""price"": ""1000""}]","[""아시아 음식""]","[""베트남 음식""]",False,False,37.4020508894395,127.106945007987,https://map.kakao.com/?q=%EB%A5%B4%EB%A9%94%EC%BD%A9%20%ED%8C%90%EA%B5%90
73,조이포,./pictures/p73.jpg,"[{""name"": ""분짜"", ""price"": ""13000""}, {""name"": ""똠양갈비쌀국수"", ""price"": ""17000""}, {""name"": ""삼겹살팟타이"", ""price"": ""12000""}, {""name"": ""소고기쌀국수"", ""price"": ""10000""}, {""name"": ""매운쌀국수"", ""price"": ""11000""}]","[""아시아 음식""]","[""베트남 음식""]",False,False,37.40046431022458,127.10681400191869,https://map.kakao.com/?q=%EC%A1%B0%EC%9D%B4%ED%8F%AC%20%ED%8C%90%EA%B5%90
74,홍호아 판교점,./pictures/p74.jpg,"[{""name"": ""양지 쌀국수"", ""price"": ""9900""}, {""name"": ""매운양지 쌀국수"", ""price"": ""10900""}, {""name"": ""껌승1인세트"", ""price"": ""14500""}, {""name"": ""직화바비큐반미세트"", ""price"": ""12000""}, {""name"": ""반미세트"", ""price"": ""11500""}]","[""아시아 음식""]","[""베트남 음식""]",False,False,37.401222688951265,127.10909535634981,https://map.kakao.com/?q=%ED%99%8D%ED%98%B8%EC%95%84%20%ED%8C%90%EA%B5%90%EC%A0%90
